student_firstname,student_lastname,student_middlename,student_address,birthdate,birthplace,student_phonenumber,studenttype,sex,yearstarted,gradestarted,yearexpelled,yeardroppedout,yeargraduated,schoolfrom,schoolto,parent_firstname,parent_lastname,parent_address,econtact_firstname,econtact_lastname,econtact_address,econtact_phonenumber
Boyd,Dossantos,Rundle,10353 Larry Parkway,1/3/1996,Lemenhe,(157) 2411974,Graduate,Male,1994,1st grade,2001,0,1998,,,Patrizio,Dossantos,10353 Larry Parkway,Sayre,Ciccotto,96478 Homewood Way,702-942-2453
Darbee,Zumbusch,Wadeling,900 Lien Lane,1999-10-10,Pignon,(474) 6861937,Graduate,Male,1994,1st grade,2008,0,2006,,,Far,Zumbusch,900 Lien Lane,Cyrill,Heinonen,8 Sheridan Center,269-320-4041
Averil,Dingate,Heggison,75 Dwight Terrace,7/24/1995,Shadili,(432) 1442821,Undergraduate,Male,2004,1st grade,1993,0,2011,,,Lamond,Dingate,75 Dwight Terrace,Dimitry,Spare,7 Anhalt Way,292-832-1991
Trula,McKerton,Parry,5834 Derek Plaza,9/15/2001,Pines,(331) 4408366,Graduate,Female,2009,1st grade,2010,2011,2005,,,Adda,McKerton,5834 Derek Plaza,Agnella,Utteridge,67 International Circle,737-815-6161
Jammal,Danko,Vlasenkov,6617 David Plaza,4/10/2012,A Yun Pa,(979) 4282593,Undergraduate,Male,1998,1st grade,1998,0,1998,,,Carr,Danko,6617 David Plaza,Edan,Wyse,84371 Vera Terrace,478-339-1410
Stephannie,Sircombe,Emer,1653 Memorial Crossing,1/25/1996,Balangkayan,(361) 4651102,Undergraduate,Female,2009,1st grade,2002,0,1969,,,Angelle,Sircombe,1653 Memorial Crossing,Georgina,Kennet,87 Jenifer Circle,827-378-6017
Andee,Sobczak,Palfrey,410 Annamark Terrace,9/8/1996,Lluchubamba,(221) 7607938,Undergraduate,Female,1977,1st grade,2009,0,2007,,,Lari,Sobczak,410 Annamark Terrace,Andrea,Peniello,13 American Ash Circle,894-438-5502
Tyson,Henzley,Dagworthy,163 Union Crossing,7/22/2004,Huayang,(258) 9618633,Graduate,Male,1992,1st grade,2007,0,2012,University of the Philippines,Ateneo de Manila University,Marion,Henzley,163 Union Crossing,Silvain,Gringley,332 Tomscot Terrace,956-988-4397
Burg,Pauluzzi,Ridett,782 Dorton Pass,12/6/2012,Aparecida,(843) 5263850,Graduate,Male,1990,1st grade,1977,1991,2012,University of Santo Tomas,Ateneo de Manila University,Dagny,Pauluzzi,782 Dorton Pass,Adriano,MacRedmond,5369 Del Mar Alley,816-514-3326
Mirabella,Laurie,McCaster,1809 Hoard Park,7/29/2013,Ketapang,(273) 6047949,Undergraduate,Female,1992,1st grade,2009,0,1998,,,Catherina,Laurie,1809 Hoard Park,Merrily,Mackison,287 Bobwhite Crossing,291-444-6338
