student_firstname,student_lastname,student_middlename,student_address,birthdate,birthplace,student_phonenumber,studenttype,sex,yearstarted,gradestarted,yearexpelled,yeardroppedout,yeargraduated,schoolfrom,schoolto,parent_firstname,parent_lastname,parent_address,econtact_firstname,econtact_lastname,econtact_address,econtact_phonenumber
Boyd,Dossantos,Rundle,10353 Larry Parkway,1/3/1996,Lemenhe,(157) 2411974,Graduate,Male,1994,1st grade,2001,0,1998,,,Patrizio,Dossantos,10353 Larry Parkway,Sayre,Ciccotto,96478 Homewood Way,702-942-2453
Darbee,Zumbusch,Wadeling,900 Lien Lane,10/10/1999,Pignon,(474) 6861937,Graduate,Male,1994,1st grade,2008,0,2006,,,Far,Zumbusch,900 Lien Lane,Cyrill,Heinonen,8 Sheridan Center,269-320-4041
Averil,Dingate,Heggison,75 Dwight Terrace,7/24/1995,Shadili,(432) 1442821,Undergraduate,Male,2004,1st grade,1993,0,2011,,,Lamond,Dingate,75 Dwight Terrace,Dimitry,Spare,7 Anhalt Way,292-832-1991
Trula,McKerton,Parry,5834 Derek Plaza,9/15/2001,Pines,(331) 4408366,Graduate,Female,2009,1st grade,2010,2011,2005,,,Adda,McKerton,5834 Derek Plaza,Agnella,Utteridge,67 International Circle,737-815-6161
Jammal,Danko,Vlasenkov,6617 David Plaza,4/10/2012,A Yun Pa,(979) 4282593,Undergraduate,Male,1998,1st grade,1998,0,1998,,,Carr,Danko,6617 David Plaza,Edan,Wyse,84371 Vera Terrace,478-339-1410
Stephannie,Sircombe,Emer,1653 Memorial Crossing,1/25/1996,Balangkayan,(361) 4651102,Undergraduate,Female,2009,1st grade,2002,0,1969,,,Angelle,Sircombe,1653 Memorial Crossing,Georgina,Kennet,87 Jenifer Circle,827-378-6017
Andee,Sobczak,Palfrey,410 Annamark Terrace,9/8/1996,Lluchubamba,(221) 7607938,Undergraduate,Female,1977,1st grade,2009,0,2007,,,Lari,Sobczak,410 Annamark Terrace,Andrea,Peniello,13 American Ash Circle,894-438-5502
Tyson,Henzley,Dagworthy,163 Union Crossing,7/22/2004,Huayang,(258) 9618633,Graduate,Male,1992,1st grade,2007,0,2012,University of the Philippines,Ateneo de Manila University,Marion,Henzley,163 Union Crossing,Silvain,Gringley,332 Tomscot Terrace,956-988-4397
Burg,Pauluzzi,Ridett,782 Dorton Pass,12/6/2012,Aparecida,(843) 5263850,Graduate,Male,1990,1st grade,1977,1991,2012,University of Santo Tomas,Ateneo de Manila University,Dagny,Pauluzzi,782 Dorton Pass,Adriano,MacRedmond,5369 Del Mar Alley,816-514-3326
Mirabella,Laurie,McCaster,1809 Hoard Park,7/29/2013,Ketapang,(273) 6047949,Undergraduate,Female,1992,1st grade,2009,0,1998,,,Catherina,Laurie,1809 Hoard Park,Merrily,Mackison,287 Bobwhite Crossing,291-444-6338
Blondell,MacGlory,Steedman,39 Trailsway Street,5/14/2009,Montenegro,(881) 4865303,Graduate,Female,1992,1st grade,2012,0,1972,,,Aubrey,MacGlory,39 Trailsway Street,Bethany,Vurley,3 Pierstorff Terrace,141-783-9172
Arvie,Danet,Ovington,97 Arkansas Trail,3/16/2000,Barra de Sﾃ｣o Francisco,(393) 4515677,Undergraduate,Male,2011,1st grade,1996,0,2000,,,Chad,Danet,97 Arkansas Trail,Colan,Drewry,53564 Butternut Road,521-777-1818
Rafaela,Ramshaw,Britney,4 Vahlen Park,8/18/2002,Kataba,(819) 1735185,Undergraduate,Female,2002,1st grade,1996,0,1992,University of the Philippines,Ateneo de Manila University,Chloris,Ramshaw,4 Vahlen Park,Murielle,Netting,2 Portage Park,371-539-0695
Gavrielle,Fowlestone,Bernardino,99 Old Shore Place,7/31/1994,Kﾃｸbenhavn,(305) 1713086,Graduate,Female,2011,1st grade,2006,0,1992,,,Maddy,Fowlestone,99 Old Shore Place,Emilee,Quinet,626 Oriole Drive,702-231-0853
Jodi,Cocklie,Middiff,78557 Village Terrace,1/9/1998,Jiangpu,(788) 8164791,Graduate,Male,2005,1st grade,1994,0,1988,University of the Philippines,Ateneo de Manila University,Mattheus,Cocklie,78557 Village Terrace,Horten,Brunet,0 8th Lane,764-224-4594
Vanya,Diver,Humbey,7879 Melby Way,11/11/2014,Steinkjer,(341) 4380355,Undergraduate,Female,2007,1st grade,1994,0,2006,,,Merle,Diver,7879 Melby Way,Kalina,Noseworthy,558 Blaine Court,828-988-9423
Gaelan,Goulston,Stent,04 Rowland Road,4/10/1995,Reykjanesbﾃｦr,(778) 7032537,Graduate,Male,1992,1st grade,2004,0,2012,,,Sterling,Goulston,04 Rowland Road,Jesse,Tarburn,17 Ridgeview Terrace,322-124-8615
Morrie,Jankin,Gages,7843 Kingsford Point,6/14/2013,Anjia,(323) 4952991,Graduate,Male,1990,1st grade,2003,0,2011,,,Mathias,Jankin,7843 Kingsford Point,Tome,Lemmens,6 Sullivan Crossing,683-208-4245
Egon,Heady,Lighterness,9448 Hudson Plaza,1/19/1994,Estrada,(271) 9144872,Undergraduate,Male,1990,1st grade,1997,0,2012,,,Burton,Heady,9448 Hudson Plaza,Orazio,Younglove,9921 7th Plaza,560-905-0023
Bearnard,Hagard,Schout,6 Mcguire Alley,8/10/1995,Hisings Kﾃ､rra,(757) 7454529,Graduate,Male,2004,1st grade,2012,0,1992,,,Aaron,Hagard,6 Mcguire Alley,Hersch,Dumelow,07 Arapahoe Junction,975-729-0312
Carlee,Sorrel,Del Dello,32 Sunfield Point,4/5/1998,Ban Phan Don,(134) 9754447,Graduate,Female,1984,1st grade,1994,0,2010,,,Lanie,Sorrel,32 Sunfield Point,Robena,Rodgerson,208 Independence Street,329-997-4208
